ID,Fiction,Sci-Fict,Baby_Toddler,  Teen, Manga,Art&Hist,SelfImprov,Cooking, Games, Gifts,Journals,  News,NonFict,HairyPottery,Mysteries,Thrillers,Classics,Poetry,Romance,Horror
 1,     1,     2,     2,     5,     3,     1,     9,     9,     0,     3,     1,     6,     4,     1,     7,     4,     7,     5,     4,     0
 2,     2,     4,     2,     8,     2,     1,     8,     7,     0,     7,     1,     0,     6,     2,     5,     3,     7,     3,     6,     2
 3,     4,     1,     3,     8,     6,     0,    10,     6,     1,     4,     3,     3,     5,     1,     4,     5,     7,     4,     6,     2
 4,     3,     7,    10,     1,     0,     0,     0,     1,     7,     2,     0,     6,     9,     5,     3,     1,     6,     5,     1,     0
 5,     4,     7,     9,     5,     0,     3,     3,     6,     7,     7,     1,     2,     0,     1,     4,     3,     1,     5,     7,     8
 6,     4,     6,     8,     8,     0,     0,     6,     5,     8,     5,     4,     0,     1,     0,     1,     3,     1,     6,     8,     9
 7,     2,     1,     1,     9,     2,     1,     9,     4,     1,     6,     0,     2,     2,     1,     6,     5,     8,     4,     6,     2
 8,     3,     3,     2,     8,     2,     0,     9,     7,     1,     6,     0,     1,     6,     2,     6,     5,     6,     5,     4,     2
 9,     5,     5,     8,     5,     0,     2,     3,     6,    10,     6,     3,     0,     0,     1,     1,     4,     2,     8,     8,     8
10,     3,     1,     2,    10,     3,     1,     5,     4,     1,     4,     1,     4,     3,     2,     5,     6,     7,     4,     5,     1
11,     5,     8,     1,     7,    10,     0,     1,     0,     5,     5,     3,     1,     5,     5,     4,     1,     2,     3,     6,     3
12,     5,     6,     8,     6,     0,     0,     6,     2,     7,     7,     3,     2,     2,     0,     3,     1,     1,     7,     8,     9
13,     1,     6,     9,     1,     0,     1,     1,     5,     7,     2,     2,     2,     9,     6,     2,     2,     6,     7,     1,     0
14,     7,     7,     1,     5,     6,     1,     1,     1,     5,     4,     6,     3,     4,     6,     3,     5,     4,     2,     4,     3
15,     3,     7,    10,     5,     0,     1,     4,     7,     8,     5,     3,     1,     3,     0,     3,     3,     2,     5,     8,     9
16,     2,     4,    10,     1,     1,     1,     2,     5,     6,     7,     4,     8,    10,     6,     2,     4,     8,     4,     0,     0
17,     1,     8,    10,     0,     1,     1,     4,     5,     5,     2,     2,     8,    10,     3,     1,     1,     8,     7,     2,     0
18,     2,     0,     1,     9,     2,     1,     8,     6,     1,     4,     1,     3,     5,     0,     6,     4,    10,     3,     5,     3
19,     5,     5,     9,     6,     0,     1,     5,     6,     9,     5,     2,     0,     1,     0,     1,     5,     5,     6,     9,    10
20,     7,     4,     9,     5,     1,     0,     5,     3,     7,     6,     2,     0,     1,     1,     1,     3,     1,     2,     9,    10
21,     5,     9,    10,     8,     0,     1,     4,     4,     6,     3,     4,     0,     1,     0,     2,     1,     0,     5,     9,     6
22,     7,     7,     0,     6,     5,     1,     2,     1,     4,     3,     5,     3,     4,     8,     4,     4,     1,     5,     4,     4
23,     0,     3,     2,     9,     1,     2,    10,     2,     0,     5,     2,     3,     5,     1,     7,     4,     9,     4,     5,     3
24,     2,     1,     1,     8,     3,     0,     9,     6,     3,     9,     0,     2,     3,     3,     7,     5,     5,     5,     2,     4
25,     1,     6,     9,     2,     1,     2,     1,     2,     5,     3,     3,     4,    10,     3,     2,     4,     7,     8,     0,     0
26,     4,     5,     7,     0,     3,     0,     1,     8,     5,     5,     4,     5,     7,     7,     1,     4,     7,     4,     2,     0
27,     1,     2,     3,     7,     5,     1,     5,     7,     0,     4,     2,     2,     4,     3,     8,     5,     4,     5,     4,     1
28,     2,     1,     3,     6,     3,     1,     8,     7,     3,     5,     3,     1,     2,     3,     6,     6,     7,     5,     7,     3
29,     7,     6,     1,     5,     4,     0,     2,     2,     6,     6,     5,     1,     1,     3,     2,     5,     3,     7,     3,     3
30,     3,     2,     4,     8,     3,     0,     8,     5,     0,     4,     1,     2,     4,     3,     4,     6,     6,     5,     7,     1
31,     2,     7,     8,     6,     0,     2,     3,     7,     7,     8,     3,     1,     2,     0,     2,     2,     3,     6,     6,     7
32,     3,     7,     9,     3,     0,     2,     4,     5,     5,     8,     2,     1,     1,     0,     2,     7,     1,     3,     6,    10
33,     4,     8,     0,     9,     6,     1,     5,     0,     7,     8,     9,     0,     2,     4,     5,     3,     1,     7,     6,     3
